Topic,Count,Name,Representation,Representative_Docs
-1,606,-1_rate_com_closing_online,"['rate', 'com', 'closing', 'online', 'questions', 'home', 'best', 'rates', 'took', 'good']","['short guys awesome fastest smoothest refi 4th refi 18yrs knew good honored mistakenly advertised rate bankrate com tldr browsing rates bankrate com june saw points 15yr decided time refi 30yr did googling quick online application late saturday jun yes work weekends pre-approved 6am morning sunday saw discount pts added quote thought bait-n-switch great reviews online asked points showed points advertised rate bankrate quickly replied honoring advertised rate points unfortunately waited little long lock caused points creep bit locked jun 15yr points yes point 30day lock paperwork ready upload confident wouldn hold fortunately online streamlined went super-fast ready close july days lock pretty fast compared refunded 500 appraisal fee wasn needed recommend income employment verification info ready upload right apply setup irs login accounts advance irs account creation phone verification glitch thankfully com allowed slide used joint tax return additional verification happier smooth refi went thanks com', 'lowering rates killer opportunity refi contacted july didn quote sept omg checked com single rate available just filling address credit score comparison gave quote rate wanted options cost took days send second rate rates went omg shopping rates checked companies friends using guy friendly helpful didn sign spot guys called omg best thing com friendly cheerful person talk teams walk human answers phone time specific agent isn available try answer question connect member team com easy online home sending necessary paperwork easy attach file computer email pic document phone helpers walk steps helpful older folks didn grow computers sent emails messages notify step online site kept track came easy hassles saving 600 month rates going website click view rates specifics scroll click custom rates costs happy dance save', 'financed refinanced mortgages lender decade initially bit apprehensive starting com concerns quickly faded couple days began refinancing com friday immediately contacted email phone team members assigned introduce questions weekend getting documentation deciding rate lock answered immediately fact consultant scott actually called sunday shortly emailed question explained mapped scott said brie charlotte processing experts dylan closing expert responsive took time answer questions brie went far evening just check make sure didn unanswered questions total refinance took weeks start close considering involved refinance impressed efficiency com user portal easy navigate uploading necessary documentation team approve simple overall extremely happy refinancing com definitely referring family friends']"
0,87,0_home_buying_home buying_time home,"['home', 'buying', 'home buying', 'time home', 'questions', 'purchasing', 'helpful', 'realtor', 'advisor', 'helped']","['time buying home com provided online offered lot upfront information options kept home buying streamlined clearly stated needed times helped need clarification happy finally home', 'time home buying breeze online amazing team able guide issue officer hayden hendrick excellent highly recommend working provided great communication available answer questions provide updates phone calls emails texts addition notch service able beat competitors rate closing costs wasn close huge deal allowed begin remodeling home right away just want say thanks definitely working future purchase home', 'brooke manson home advisor say great things support home buying recommend looking buy home']"
1,79,1_refinance_refinancing_service_online,"['refinance', 'refinancing', 'service', 'online', 'responsive', 'user', 'website', 'user friendly', 'friendly', 'refinanced']","['easiest purchase refinance user friendly integration apps upload banking information simple streamlined definitely recommend', 'refinance easy smooth team professional friendly extremely knowledgeable ins outs refinancing went came helping forms finding information needed complete refinance highly recommend looking refinance home purchase', 'great online platform easy use clear online instructions able close refinance faster expected issues processors underwriters lenders getting companies past 5th residential refinance far easiest fastest responsive worked great service nice people']"
2,53,2_refinance_refinancing_efficient_refinances,"['refinance', 'refinancing', 'efficient', 'refinances', 'highly', 'thank', 'best', 'highly recommend', 'competitive rates', 'refinance home']","['usually skip reviews really did make refinance super smooth great rate highly recommend trying refinance home', 'happy smooth fast went highly recommend refinancing thank jackson beaver help', 'couldn pleased efficiency refinancing com time called inquire refinancing day funding went smoothly possibly highly recommend com']"
3,52,3_rates_fees_great rates_transparent,"['rates', 'fees', 'great rates', 'transparent', 'best rates', 'best', 'rate', 'service', 'best rate', 'competitive']","['entirely online 100 transparency offers rates lock selection minutes lowest fees best rates', 'best rate fees transparent truly easy business entirely online able track progress great user interface team members helped way shop compared local credit unions far best rate hidden fees good true did close yesterday sitting new house today zero surprises way', 'great rates fees good online']"
4,44,4_refi_thank_communication_clear,"['refi', 'thank', 'communication', 'clear', 'quickly', 'went smooth', 'excellent', 'com', 'say', 'minutes']","['far best refi excellent website clearly broken tasks email reminders make step clear efficient gives clear view documents need provide ability review sign new documents place easy drag drop documents click send review later visibility traceability great staff equally excellent helping answer questions quickly previous refi email time things got lost ahold review closing docs ahead time refi awesome compared previous experiences', 'finally refi home instead just making quick buck rough edges hard core single construction superintendent don time refi paper work writing reviews seriously looking forward writing review mikey tran love bro amazing job entire time feel like long time family friend helping refi agent thank fastest responsive later worked way online portal set able tasks damn easy like needed info literally upload info phone bathroom taking dump way does refi amazing just want say heart thank com thank mikey tran love guys', 'refi great highly recommend thank']"
5,41,5_closing_days_day_approval,"['closing', 'days', 'day', 'approval', 'said', 'appraisal', 'later', 'final', 'weeks', 'title']","['going laid processor assigned new incompetent couldn care nearly impossible communicate day closing numbers weren right didn respond hours finally responded saying working closer stayed 7pm waiting fix mistake unresponsive went break working overtime waiting fix mistakes spoke manager fixed quickly wasn able close day close day means wasted titles time caused waste time money literally uhaul furniture ready offered lower rate pay 5000 closing costs final closing disclosure said', 'really smooth assigned closing expert unresponsive ultimately missed closing appointment issues addressed answered time previously undisclosed fee 300 tacked night closing payoff updated properly ended owing closing higher accept personal check ultimately closed 500 expected issues didn receive final documents minutes 7pm second closing appointment started late late receipt went cost start scratch doublecheck numbers send tell won sign hours receive closing documents', 'took weeks consider application gave pre approval immediately approval weeks weeks later submitting final paperwork initiate closing canceled cited late record available discussed weeks earlier used approval personnel separate states assess file apparently hand talking kept open approved site days asking denial email additional paperwork needed closing changed home insurance adding cancelling current lender bothered correct matter days denied subsequently got closed wanted week competitor days open approved despite careless denial email waste time did']"
6,38,6_documents_needed_closing_paperwork,"['documents', 'needed', 'closing', 'paperwork', 'documentation', 'document', 'escrow', 'upload', 'perfect', 'using']","['wow best getting orderly fashion fact tasks complete upload documents easy communicating officer different gotten officer igor easy work adjusted wanted closing costs added field happy processing moving modern platform communication happen platform emails recommended family friends use changed user', 'smooth sailing straightforward easy application closing associates worked email phone courteous professional efficiently providing necessary help needed approved quickly realtor commented multiple times smooth transaction good size does fit documentation required overwhelming having online immediate feedback cause issues application clean avoiding scenarios optimally solved face face interaction com associates extremely overloaded emails took days answer calendars booking phone appeared completely booked multiple points contact hesitate use com future needs', 'workflow impressive needs easier way facilitate dialogue bunch specialized documentation needed financing knows needed getting stuck document great reasoning instance retrieve official copy divorce decree contained details divorce person just interested com achieved speed lightning quick approve documents simple way submit electronic copies wet signature needed things quickly paperwork generally quite responsive']"
7,37,7_forward_straight forward_straight_tasks,"['forward', 'straight forward', 'straight', 'tasks', 'think', 'star', 'staff', 'easy work', 'needed', 'point']","['simple straight forward processes completed step easy understand implement staff professional courteous helping', 'straight forward book tick box agree waiting long figure stroll terms tick agree takeing half hour book class lucky understand doing right longer agree time try book class slow think lost internet connect just slow make booking confuseing know basket just book class spent hour trying book class nearly gave numbers times', 'straight forward obtain time getting obviously came anxiety going say way designed really straight forward easy follow needs super proactive completing rest things happens like magic point contact helpful ready answer questions couple things recommend improvement description action items tasks requires input borrower straight forward understand action needs happen borrower end second thing agent different point contact leaves room introducing communication gaps times creates unnecessary churn overall 100 recommend getting']"
8,35,8_communication_great communication_communications_easy great,"['communication', 'great communication', 'communications', 'easy great', 'step', 'easy use', 'fast', 'excellent communication', 'fast easy', 'using com']","['jaime awesome easy great communication easy simple close', 'easy great communication good web interface', 'unbelievably fast application close great communication']"
